Дата;Дата с разбивкой по 30 минут;Прибыль на момент времени;Точка продаж
10.05.2022;2022-05-10 17:30:00.000;6 115,5;Точка продаж 12
10.05.2022;2022-05-10 18:00:00.000;4 261,5;Точка продаж 12
10.05.2022;2022-05-10 18:30:00.000;4 692,5;Точка продаж 12
10.05.2022;2022-05-10 19:00:00.000;11 158;Точка продаж 12
10.05.2022;2022-05-10 19:30:00.000;4 118,5;Точка продаж 12
10.05.2022;2022-05-10 20:00:00.000;6 339;Точка продаж 12
10.05.2022;2022-05-10 20:30:00.000;4 947,5;Точка продаж 12
10.05.2022;2022-05-10 21:00:00.000;2 793,5;Точка продаж 12
10.05.2022;2022-05-10 21:30:00.000;4 862,5;Точка продаж 12
10.05.2022;2022-05-10 22:00:00.000;3 478;Точка продаж 12
10.05.2022;2022-05-10 22:30:00.000;3 271;Точка продаж 12
10.05.2022;2022-05-10 23:00:00.000;3 919;Точка продаж 12
10.05.2022;2022-05-10 23:30:00.000;2 256;Точка продаж 12
10.05.2022;2022-05-10 00:00:00.000;782,25;Точка продаж 13
10.05.2022;2022-05-10 01:00:00.000;435;Точка продаж 13
10.05.2022;2022-05-10 02:30:00.000;717,5;Точка продаж 13
10.05.2022;2022-05-10 06:30:00.000;777,5;Точка продаж 13
10.05.2022;2022-05-10 07:30:00.000;422,5;Точка продаж 13
10.05.2022;2022-05-10 08:30:00.000;76,5;Точка продаж 13
10.05.2022;2022-05-10 09:30:00.000;485;Точка продаж 13
10.05.2022;2022-05-10 10:00:00.000;487,5;Точка продаж 13
10.05.2022;2022-05-10 12:30:00.000;2 557,5;Точка продаж 13
10.05.2022;2022-05-10 13:00:00.000;1 627,5;Точка продаж 13
10.05.2022;2022-05-10 13:30:00.000;272,5;Точка продаж 13
10.05.2022;2022-05-10 14:30:00.000;361;Точка продаж 13
10.05.2022;2022-05-10 15:00:00.000;1 495;Точка продаж 13
10.05.2022;2022-05-10 15:30:00.000;1 432,5;Точка продаж 13
10.05.2022;2022-05-10 17:00:00.000;1 630;Точка продаж 13
10.05.2022;2022-05-10 18:00:00.000;2 547,5;Точка продаж 13
10.05.2022;2022-05-10 18:30:00.000;1 240;Точка продаж 13
10.05.2022;2022-05-10 19:30:00.000;1 120;Точка продаж 13
10.05.2022;2022-05-10 20:00:00.000;1 112,5;Точка продаж 13
10.05.2022;2022-05-10 20:30:00.000;422,5;Точка продаж 13
10.05.2022;2022-05-10 22:00:00.000;2 267,5;Точка продаж 13
10.05.2022;2022-05-10 22:30:00.000;590;Точка продаж 13
10.05.2022;2022-05-10 23:00:00.000;950;Точка продаж 13
10.05.2022;2022-05-10 07:00:00.000;840;Точка продаж 14
10.05.2022;2022-05-10 07:30:00.000;2 100;Точка продаж 14
10.05.2022;2022-05-10 11:00:00.000;9 600;Точка продаж 14
10.05.2022;2022-05-10 11:30:00.000;1 200;Точка продаж 14
10.05.2022;2022-05-10 12:00:00.000;790;Точка продаж 14
10.05.2022;2022-05-10 12:30:00.000;1 750;Точка продаж 14
10.05.2022;2022-05-10 14:00:00.000;1 980;Точка продаж 14
10.05.2022;2022-05-10 16:00:00.000;8 400;Точка продаж 14
10.05.2022;2022-05-10 16:30:00.000;2 670;Точка продаж 14
10.05.2022;2022-05-10 19:00:00.000;975;Точка продаж 14
10.05.2022;2022-05-10 20:30:00.000;8 585;Точка продаж 14
10.05.2022;2022-05-10 21:00:00.000;6 020;Точка продаж 14
10.05.2022;2022-05-10 22:00:00.000;275;Точка продаж 14
10.05.2022;2022-05-10 23:30:00.000;475;Точка продаж 14
10.05.2022;2022-05-10 00:00:00.000;540;Точка продаж 15
10.05.2022;2022-05-10 00:30:00.000;985;Точка продаж 15
10.05.2022;2022-05-10 01:30:00.000;810;Точка продаж 15
10.05.2022;2022-05-10 02:00:00.000;2 815;Точка продаж 15
10.05.2022;2022-05-10 02:30:00.000;345;Точка продаж 15
10.05.2022;2022-05-10 06:00:00.000;5 270;Точка продаж 15
10.05.2022;2022-05-10 06:30:00.000;3 195;Точка продаж 15
10.05.2022;2022-05-10 07:00:00.000;690;Точка продаж 15
10.05.2022;2022-05-10 07:30:00.000;2 465;Точка продаж 15
10.05.2022;2022-05-10 08:00:00.000;10 330;Точка продаж 15
10.05.2022;2022-05-10 10:00:00.000;6 375;Точка продаж 15
10.05.2022;2022-05-10 11:00:00.000;16 985;Точка продаж 15
10.05.2022;2022-05-10 12:30:00.000;685;Точка продаж 15
10.05.2022;2022-05-10 13:00:00.000;690;Точка продаж 15
10.05.2022;2022-05-10 13:30:00.000;1 035;Точка продаж 15
10.05.2022;2022-05-10 15:00:00.000;5 175;Точка продаж 15
10.05.2022;2022-05-10 17:30:00.000;9 495;Точка продаж 15
10.05.2022;2022-05-10 18:00:00.000;4 875;Точка продаж 15
10.05.2022;2022-05-10 19:00:00.000;6 850;Точка продаж 15
10.05.2022;2022-05-10 19:30:00.000;25 695;Точка продаж 15
10.05.2022;2022-05-10 23:00:00.000;5 550;Точка продаж 15
10.05.2022;2022-05-10 23:30:00.000;195;Точка продаж 15
10.05.2022;2022-05-10 00:00:00.000;780;Точка продаж 16
10.05.2022;2022-05-10 00:30:00.000;8 090;Точка продаж 16
10.05.2022;2022-05-10 01:00:00.000;2 745;Точка продаж 16
10.05.2022;2022-05-10 05:00:00.000;3 065;Точка продаж 16
10.05.2022;2022-05-10 05:30:00.000;9 085;Точка продаж 16
10.05.2022;2022-05-10 06:00:00.000;8 900;Точка продаж 16
10.05.2022;2022-05-10 06:30:00.000;4 930;Точка продаж 16
10.05.2022;2022-05-10 07:00:00.000;5 755;Точка продаж 16
10.05.2022;2022-05-10 07:30:00.000;16 885;Точка продаж 16
10.05.2022;2022-05-10 08:00:00.000;13 220;Точка продаж 16
10.05.2022;2022-05-10 08:30:00.000;15 085;Точка продаж 16
10.05.2022;2022-05-10 09:00:00.000;10 341;Точка продаж 16
10.05.2022;2022-05-10 09:30:00.000;20 342;Точка продаж 16
10.05.2022;2022-05-10 10:00:00.000;7 405;Точка продаж 16
10.05.2022;2022-05-10 10:30:00.000;3 650;Точка продаж 16
10.05.2022;2022-05-10 11:00:00.000;14 009,5;Точка продаж 16
10.05.2022;2022-05-10 11:30:00.000;15 745;Точка продаж 16
10.05.2022;2022-05-10 12:00:00.000;19 330;Точка продаж 16
10.05.2022;2022-05-10 12:30:00.000;15 102,5;Точка продаж 16
10.05.2022;2022-05-10 13:00:00.000;27 350;Точка продаж 16
10.05.2022;2022-05-10 13:30:00.000;26 655;Точка продаж 16
10.05.2022;2022-05-10 14:00:00.000;12 925;Точка продаж 16
10.05.2022;2022-05-10 14:30:00.000;58 396;Точка продаж 16
10.05.2022;2022-05-10 15:00:00.000;47 870,5;Точка продаж 16
10.05.2022;2022-05-10 15:30:00.000;25 074,5;Точка продаж 16
10.05.2022;2022-05-10 16:00:00.000;42 180;Точка продаж 16
10.05.2022;2022-05-10 16:30:00.000;18 730;Точка продаж 16
10.05.2022;2022-05-10 17:00:00.000;19 110;Точка продаж 16
10.05.2022;2022-05-10 17:30:00.000;20 876,5;Точка продаж 16
10.05.2022;2022-05-10 18:00:00.000;11 440;Точка продаж 16
10.05.2022;2022-05-10 18:30:00.000;18 491;Точка продаж 16
10.05.2022;2022-05-10 19:00:00.000;30 635;Точка продаж 16
10.05.2022;2022-05-10 19:30:00.000;24 995;Точка продаж 16
10.05.2022;2022-05-10 20:00:00.000;26 025;Точка продаж 16
10.05.2022;2022-05-10 20:30:00.000;16 250;Точка продаж 16
10.05.2022;2022-05-10 21:00:00.000;19 545;Точка продаж 16
10.05.2022;2022-05-10 21:30:00.000;36 945;Точка продаж 16
10.05.2022;2022-05-10 22:00:00.000;22 445;Точка продаж 16
10.05.2022;2022-05-10 22:30:00.000;9 635;Точка продаж 16
10.05.2022;2022-05-10 23:00:00.000;2 215;Точка продаж 16
10.05.2022;2022-05-10 23:30:00.000;2 000;Точка продаж 16
10.05.2022;2022-05-10 06:30:00.000;95;Точка продаж 17
10.05.2022;2022-05-10 07:30:00.000;160;Точка продаж 17
10.05.2022;2022-05-10 08:00:00.000;272,5;Точка продаж 17
10.05.2022;2022-05-10 08:30:00.000;320;Точка продаж 17
10.05.2022;2022-05-10 09:00:00.000;306;Точка продаж 17
10.05.2022;2022-05-10 09:30:00.000;580;Точка продаж 17
10.05.2022;2022-05-10 10:00:00.000;280;Точка продаж 17
10.05.2022;2022-05-10 10:30:00.000;160;Точка продаж 17
10.05.2022;2022-05-10 11:00:00.000;1 295,5;Точка продаж 17
10.05.2022;2022-05-10 12:00:00.000;2 515;Точка продаж 17
10.05.2022;2022-05-10 12:30:00.000;415;Точка продаж 17
10.05.2022;2022-05-10 13:00:00.000;92,625;Точка продаж 17
10.05.2022;2022-05-10 13:30:00.000;114,4;Точка продаж 17
10.05.2022;2022-05-10 14:00:00.000;875;Точка продаж 17
10.05.2022;2022-05-10 14:30:00.000;505;Точка продаж 17
10.05.2022;2022-05-10 15:00:00.000;810;Точка продаж 17
10.05.2022;2022-05-10 15:30:00.000;781;Точка продаж 17
10.05.2022;2022-05-10 16:00:00.000;2 548;Точка продаж 17
10.05.2022;2022-05-10 16:30:00.000;670;Точка продаж 17
10.05.2022;2022-05-10 17:00:00.000;145;Точка продаж 17
10.05.2022;2022-05-10 18:00:00.000;160;Точка продаж 17
10.05.2022;2022-05-10 18:30:00.000;381;Точка продаж 17
10.05.2022;2022-05-10 19:00:00.000;1 010;Точка продаж 17
10.05.2022;2022-05-10 20:00:00.000;403,745;Точка продаж 17
10.05.2022;2022-05-10 00:00:00.000;2 250;Точка продаж 18
10.05.2022;2022-05-10 12:30:00.000;7 950;Точка продаж 18
10.05.2022;2022-05-10 13:00:00.000;17 450;Точка продаж 18
10.05.2022;2022-05-10 14:00:00.000;14 650;Точка продаж 18
10.05.2022;2022-05-10 15:30:00.000;6 450;Точка продаж 18
10.05.2022;2022-05-10 18:30:00.000;2 250;Точка продаж 18
10.05.2022;2022-05-10 20:30:00.000;16 150;Точка продаж 18
10.05.2022;2022-05-10 21:30:00.000;1 750;Точка продаж 18
10.05.2022;2022-05-10 00:00:00.000;6 160;Точка продаж 19
10.05.2022;2022-05-10 00:30:00.000;575;Точка продаж 19
10.05.2022;2022-05-10 01:00:00.000;275;Точка продаж 19
10.05.2022;2022-05-10 04:00:00.000;3 349,5;Точка продаж 19
10.05.2022;2022-05-10 04:30:00.000;2 525;Точка продаж 19
10.05.2022;2022-05-10 05:00:00.000;125;Точка продаж 19
10.05.2022;2022-05-10 05:30:00.000;100;Точка продаж 19
10.05.2022;2022-05-10 06:00:00.000;2 332,5;Точка продаж 19
10.05.2022;2022-05-10 06:30:00.000;10 905;Точка продаж 19
10.05.2022;2022-05-10 07:00:00.000;7 400;Точка продаж 19
10.05.2022;2022-05-10 07:30:00.000;9 632,5;Точка продаж 19
10.05.2022;2022-05-10 08:00:00.000;5 450;Точка продаж 19
10.05.2022;2022-05-10 08:30:00.000;4 460;Точка продаж 19
10.05.2022;2022-05-10 09:00:00.000;5 592,5;Точка продаж 19
10.05.2022;2022-05-10 09:30:00.000;550;Точка продаж 19
10.05.2022;2022-05-10 10:00:00.000;6 760;Точка продаж 19
10.05.2022;2022-05-10 10:30:00.000;250;Точка продаж 19
10.05.2022;2022-05-10 11:00:00.000;4 150;Точка продаж 19
10.05.2022;2022-05-10 11:30:00.000;2 765;Точка продаж 19
10.05.2022;2022-05-10 12:00:00.000;6 345;Точка продаж 19
10.05.2022;2022-05-10 12:30:00.000;4 350;Точка продаж 19
10.05.2022;2022-05-10 13:00:00.000;8 377,5;Точка продаж 19
10.05.2022;2022-05-10 13:30:00.000;9 607,5;Точка продаж 19
10.05.2022;2022-05-10 14:00:00.000;6 435;Точка продаж 19
10.05.2022;2022-05-10 14:30:00.000;11 602;Точка продаж 19
10.05.2022;2022-05-10 15:00:00.000;11 407,5;Точка продаж 19
10.05.2022;2022-05-10 15:30:00.000;10 274,5;Точка продаж 19
10.05.2022;2022-05-10 16:00:00.000;8 072,5;Точка продаж 19
10.05.2022;2022-05-10 16:30:00.000;16 659,5;Точка продаж 19
10.05.2022;2022-05-10 17:00:00.000;10 125;Точка продаж 19
10.05.2022;2022-05-10 17:30:00.000;7 607,5;Точка продаж 19
10.05.2022;2022-05-10 18:00:00.000;11 435;Точка продаж 19
10.05.2022;2022-05-10 18:30:00.000;9 415;Точка продаж 19
10.05.2022;2022-05-10 19:00:00.000;7 860;Точка продаж 19
10.05.2022;2022-05-10 19:30:00.000;15 487,5;Точка продаж 19
10.05.2022;2022-05-10 20:00:00.000;8 982,5;Точка продаж 19
10.05.2022;2022-05-10 20:30:00.000;3 640;Точка продаж 19
10.05.2022;2022-05-10 21:00:00.000;6 822,5;Точка продаж 19
10.05.2022;2022-05-10 21:30:00.000;5 184,5;Точка продаж 19
10.05.2022;2022-05-10 22:00:00.000;3 385;Точка продаж 19
10.05.2022;2022-05-10 22:30:00.000;3 830;Точка продаж 19
10.05.2022;2022-05-10 23:00:00.000;5 422,5;Точка продаж 19
10.05.2022;2022-05-10 23:30:00.000;2 952,5;Точка продаж 19
10.05.2022;2022-05-10 00:00:00.000;3 700;Точка продаж 2
10.05.2022;2022-05-10 00:30:00.000;597;Точка продаж 2
10.05.2022;2022-05-10 01:00:00.000;1 056;Точка продаж 2
10.05.2022;2022-05-10 01:30:00.000;1 368;Точка продаж 2
10.05.2022;2022-05-10 02:00:00.000;642,5;Точка продаж 2
10.05.2022;2022-05-10 02:30:00.000;109,5;Точка продаж 2
10.05.2022;2022-05-10 04:00:00.000;219;Точка продаж 2
10.05.2022;2022-05-10 04:30:00.000;552;Точка продаж 2
10.05.2022;2022-05-10 05:00:00.000;1 360;Точка продаж 2
10.05.2022;2022-05-10 05:30:00.000;1 045,5;Точка продаж 2
10.05.2022;2022-05-10 06:00:00.000;2 961;Точка продаж 2
10.05.2022;2022-05-10 06:30:00.000;2 007;Точка продаж 2
10.05.2022;2022-05-10 07:00:00.000;1 020,5;Точка продаж 2
10.05.2022;2022-05-10 08:00:00.000;199,5;Точка продаж 2
10.05.2022;2022-05-10 08:30:00.000;975,5;Точка продаж 2
10.05.2022;2022-05-10 09:00:00.000;3 010,5;Точка продаж 2
10.05.2022;2022-05-10 09:30:00.000;4 795;Точка продаж 2
10.05.2022;2022-05-10 10:00:00.000;2 210;Точка продаж 2
10.05.2022;2022-05-10 10:30:00.000;3 604,5;Точка продаж 2
10.05.2022;2022-05-10 11:00:00.000;1 977;Точка продаж 2
10.05.2022;2022-05-10 11:30:00.000;223,5;Точка продаж 2
10.05.2022;2022-05-10 12:00:00.000;1 015,5;Точка продаж 2
10.05.2022;2022-05-10 12:30:00.000;497,5;Точка продаж 2
10.05.2022;2022-05-10 13:30:00.000;1 826;Точка продаж 2
10.05.2022;2022-05-10 15:00:00.000;1 637,5;Точка продаж 2
10.05.2022;2022-05-10 15:30:00.000;1 209,5;Точка продаж 2
10.05.2022;2022-05-10 16:00:00.000;328,5;Точка продаж 2
10.05.2022;2022-05-10 16:30:00.000;776,5;Точка продаж 2
10.05.2022;2022-05-10 17:00:00.000;960,5;Точка продаж 2
10.05.2022;2022-05-10 17:30:00.000;1 318,5;Точка продаж 2
10.05.2022;2022-05-10 18:00:00.000;174;Точка продаж 2
10.05.2022;2022-05-10 18:30:00.000;2 187;Точка продаж 2
10.05.2022;2022-05-10 19:00:00.000;3 390;Точка продаж 2
10.05.2022;2022-05-10 19:30:00.000;1 671;Точка продаж 2
10.05.2022;2022-05-10 20:00:00.000;2 224;Точка продаж 2
10.05.2022;2022-05-10 20:30:00.000;3 354,5;Точка продаж 2
10.05.2022;2022-05-10 21:00:00.000;328,5;Точка продаж 2
10.05.2022;2022-05-10 21:30:00.000;453;Точка продаж 2
10.05.2022;2022-05-10 22:00:00.000;3 251;Точка продаж 2
10.05.2022;2022-05-10 22:30:00.000;1 070;Точка продаж 2
10.05.2022;2022-05-10 23:00:00.000;4 046,5;Точка продаж 2
10.05.2022;2022-05-10 23:30:00.000;3 912,5;Точка продаж 2
10.05.2022;2022-05-10 00:30:00.000;2 530;Точка продаж 20
10.05.2022;2022-05-10 01:00:00.000;1 080;Точка продаж 20
10.05.2022;2022-05-10 06:00:00.000;865;Точка продаж 20
10.05.2022;2022-05-10 08:00:00.000;4 120;Точка продаж 20
10.05.2022;2022-05-10 08:30:00.000;650;Точка продаж 20
10.05.2022;2022-05-10 09:00:00.000;945;Точка продаж 20
10.05.2022;2022-05-10 09:30:00.000;1 950;Точка продаж 20
10.05.2022;2022-05-10 10:00:00.000;2 265;Точка продаж 20
10.05.2022;2022-05-10 11:00:00.000;1 610;Точка продаж 20
10.05.2022;2022-05-10 11:30:00.000;3 020;Точка продаж 20
10.05.2022;2022-05-10 12:00:00.000;5 835;Точка продаж 20
10.05.2022;2022-05-10 12:30:00.000;9 975;Точка продаж 20
10.05.2022;2022-05-10 13:00:00.000;4 425;Точка продаж 20
10.05.2022;2022-05-10 13:30:00.000;5 210;Точка продаж 20
10.05.2022;2022-05-10 14:00:00.000;4 225;Точка продаж 20
10.05.2022;2022-05-10 14:30:00.000;3 215;Точка продаж 20
10.05.2022;2022-05-10 15:00:00.000;49 585;Точка продаж 20
10.05.2022;2022-05-10 15:30:00.000;10 205;Точка продаж 20
10.05.2022;2022-05-10 16:00:00.000;20 895;Точка продаж 20
10.05.2022;2022-05-10 16:30:00.000;700;Точка продаж 20
10.05.2022;2022-05-10 17:00:00.000;1 225;Точка продаж 20
10.05.2022;2022-05-10 17:30:00.000;650;Точка продаж 20
10.05.2022;2022-05-10 18:00:00.000;10 875;Точка продаж 20
10.05.2022;2022-05-10 18:30:00.000;6 370;Точка продаж 20
10.05.2022;2022-05-10 19:30:00.000;9 535;Точка продаж 20
10.05.2022;2022-05-10 20:30:00.000;1 170;Точка продаж 20
10.05.2022;2022-05-10 22:00:00.000;5 100;Точка продаж 20
10.05.2022;2022-05-10 11:30:00.000;57;Точка продаж 21
10.05.2022;2022-05-10 17:00:00.000;469,5;Точка продаж 21
10.05.2022;2022-05-10 18:30:00.000;523,5;Точка продаж 21
10.05.2022;2022-05-10 21:00:00.000;716;Точка продаж 21
10.05.2022;2022-05-10 21:30:00.000;918,5;Точка продаж 21
10.05.2022;2022-05-10 22:00:00.000;137;Точка продаж 21
10.05.2022;2022-05-10 23:30:00.000;668,5;Точка продаж 21
10.05.2022;2022-05-10 00:00:00.000;486;Точка продаж 22
10.05.2022;2022-05-10 00:30:00.000;735;Точка продаж 22
10.05.2022;2022-05-10 01:30:00.000;100;Точка продаж 22
10.05.2022;2022-05-10 04:30:00.000;859,5;Точка продаж 22
10.05.2022;2022-05-10 05:00:00.000;979;Точка продаж 22
10.05.2022;2022-05-10 05:30:00.000;529;Точка продаж 22
10.05.2022;2022-05-10 06:00:00.000;666,5;Точка продаж 22
10.05.2022;2022-05-10 06:30:00.000;1 757;Точка продаж 22
10.05.2022;2022-05-10 07:00:00.000;2 098,5;Точка продаж 22
10.05.2022;2022-05-10 07:30:00.000;2 067,5;Точка продаж 22
10.05.2022;2022-05-10 08:00:00.000;4 475,5;Точка продаж 22
10.05.2022;2022-05-10 08:30:00.000;3 999,5;Точка продаж 22
10.05.2022;2022-05-10 09:00:00.000;1 242;Точка продаж 22
10.05.2022;2022-05-10 09:30:00.000;1 356;Точка продаж 22
10.05.2022;2022-05-10 10:00:00.000;2 948;Точка продаж 22
10.05.2022;2022-05-10 10:30:00.000;2 217;Точка продаж 22
10.05.2022;2022-05-10 11:00:00.000;329;Точка продаж 22
10.05.2022;2022-05-10 11:30:00.000;2 278,5;Точка продаж 22
10.05.2022;2022-05-10 12:00:00.000;3 737,5;Точка продаж 22
10.05.2022;2022-05-10 12:30:00.000;3 396,5;Точка продаж 22
10.05.2022;2022-05-10 13:00:00.000;1 930,5;Точка продаж 22
10.05.2022;2022-05-10 13:30:00.000;5 639,5;Точка продаж 22
10.05.2022;2022-05-10 14:00:00.000;5 743,5;Точка продаж 22
10.05.2022;2022-05-10 14:30:00.000;4 887,5;Точка продаж 22
10.05.2022;2022-05-10 15:00:00.000;5 342;Точка продаж 22
10.05.2022;2022-05-10 15:30:00.000;6 709;Точка продаж 22
10.05.2022;2022-05-10 16:00:00.000;5 365;Точка продаж 22
10.05.2022;2022-05-10 16:30:00.000;4 157;Точка продаж 22
10.05.2022;2022-05-10 17:00:00.000;2 954,5;Точка продаж 22
10.05.2022;2022-05-10 17:30:00.000;2 376;Точка продаж 22
10.05.2022;2022-05-10 18:00:00.000;2 267;Точка продаж 22
10.05.2022;2022-05-10 18:30:00.000;3 302;Точка продаж 22
10.05.2022;2022-05-10 19:00:00.000;1 518;Точка продаж 22
10.05.2022;2022-05-10 19:30:00.000;3 104;Точка продаж 22
10.05.2022;2022-05-10 20:00:00.000;2 018,5;Точка продаж 22
10.05.2022;2022-05-10 20:30:00.000;4 362,5;Точка продаж 22
10.05.2022;2022-05-10 21:00:00.000;3 554;Точка продаж 22
10.05.2022;2022-05-10 21:30:00.000;3 153;Точка продаж 22
10.05.2022;2022-05-10 22:00:00.000;3 982,5;Точка продаж 22
10.05.2022;2022-05-10 22:30:00.000;1 651;Точка продаж 22
10.05.2022;2022-05-10 23:00:00.000;1 616;Точка продаж 22
10.05.2022;2022-05-10 23:30:00.000;1 296,5;Точка продаж 22
10.05.2022;2022-05-10 00:00:00.000;4 500;Точка продаж 23
10.05.2022;2022-05-10 00:30:00.000;10 116;Точка продаж 23
10.05.2022;2022-05-10 01:00:00.000;934,5;Точка продаж 23
10.05.2022;2022-05-10 01:30:00.000;989,5;Точка продаж 23
10.05.2022;2022-05-10 02:00:00.000;2 300;Точка продаж 23
10.05.2022;2022-05-10 02:30:00.000;3 125,5;Точка продаж 23
10.05.2022;2022-05-10 03:00:00.000;405;Точка продаж 23
10.05.2022;2022-05-10 03:30:00.000;495;Точка продаж 23
10.05.2022;2022-05-10 04:30:00.000;1 929;Точка продаж 23
10.05.2022;2022-05-10 05:00:00.000;852,5;Точка продаж 23
10.05.2022;2022-05-10 05:30:00.000;1 839;Точка продаж 23
10.05.2022;2022-05-10 06:00:00.000;8 036,5;Точка продаж 23
10.05.2022;2022-05-10 06:30:00.000;13 677;Точка продаж 23
10.05.2022;2022-05-10 07:00:00.000;5 002,5;Точка продаж 23
10.05.2022;2022-05-10 07:30:00.000;4 871,5;Точка продаж 23
10.05.2022;2022-05-10 08:00:00.000;4 568;Точка продаж 23
10.05.2022;2022-05-10 08:30:00.000;2 821,5;Точка продаж 23
10.05.2022;2022-05-10 09:00:00.000;8 775;Точка продаж 23
10.05.2022;2022-05-10 09:30:00.000;1 872;Точка продаж 23
10.05.2022;2022-05-10 10:00:00.000;2 361,5;Точка продаж 23
10.05.2022;2022-05-10 10:30:00.000;3 728;Точка продаж 23
10.05.2022;2022-05-10 11:00:00.000;22 194;Точка продаж 23
10.05.2022;2022-05-10 11:30:00.000;2 486,5;Точка продаж 23
10.05.2022;2022-05-10 12:00:00.000;6 736;Точка продаж 23
10.05.2022;2022-05-10 12:30:00.000;1 944;Точка продаж 23
10.05.2022;2022-05-10 13:00:00.000;1 080;Точка продаж 23
10.05.2022;2022-05-10 13:30:00.000;4 185,5;Точка продаж 23
10.05.2022;2022-05-10 14:00:00.000;1 046;Точка продаж 23
10.05.2022;2022-05-10 14:30:00.000;2 663,5;Точка продаж 23
10.05.2022;2022-05-10 15:00:00.000;172,5;Точка продаж 23
10.05.2022;2022-05-10 15:30:00.000;1 783;Точка продаж 23
10.05.2022;2022-05-10 16:00:00.000;4 147,5;Точка продаж 23
10.05.2022;2022-05-10 16:30:00.000;9 137;Точка продаж 23
10.05.2022;2022-05-10 17:00:00.000;3 583,5;Точка продаж 23
10.05.2022;2022-05-10 17:30:00.000;3 161,5;Точка продаж 23
10.05.2022;2022-05-10 18:00:00.000;7 801;Точка продаж 23
10.05.2022;2022-05-10 18:30:00.000;12 115,5;Точка продаж 23
10.05.2022;2022-05-10 19:00:00.000;8 921;Точка продаж 23
10.05.2022;2022-05-10 19:30:00.000;4 948,5;Точка продаж 23
10.05.2022;2022-05-10 20:00:00.000;4 726;Точка продаж 23
10.05.2022;2022-05-10 20:30:00.000;3 294;Точка продаж 23
10.05.2022;2022-05-10 21:00:00.000;3 607,5;Точка продаж 23
10.05.2022;2022-05-10 21:30:00.000;1 200;Точка продаж 23
10.05.2022;2022-05-10 22:00:00.000;1 224,5;Точка продаж 23
10.05.2022;2022-05-10 22:30:00.000;3 280,5;Точка продаж 23
10.05.2022;2022-05-10 23:00:00.000;7 061;Точка продаж 23
10.05.2022;2022-05-10 23:30:00.000;4 701;Точка продаж 23
10.05.2022;2022-05-10 00:00:00.000;452,5;Точка продаж 24
10.05.2022;2022-05-10 00:30:00.000;193;Точка продаж 24
10.05.2022;2022-05-10 01:00:00.000;344;Точка продаж 24
10.05.2022;2022-05-10 01:30:00.000;1 490;Точка продаж 24
10.05.2022;2022-05-10 02:00:00.000;1 334,5;Точка продаж 24
10.05.2022;2022-05-10 03:00:00.000;265,5;Точка продаж 24
10.05.2022;2022-05-10 04:00:00.000;349,5;Точка продаж 24
10.05.2022;2022-05-10 04:30:00.000;639;Точка продаж 24
10.05.2022;2022-05-10 05:00:00.000;479,5;Точка продаж 24
10.05.2022;2022-05-10 05:30:00.000;561;Точка продаж 24
10.05.2022;2022-05-10 06:00:00.000;277;Точка продаж 24
10.05.2022;2022-05-10 06:30:00.000;1 043;Точка продаж 24
10.05.2022;2022-05-10 07:00:00.000;1 033,5;Точка продаж 24
10.05.2022;2022-05-10 07:30:00.000;2 006;Точка продаж 24
10.05.2022;2022-05-10 08:00:00.000;2 047,5;Точка продаж 24
10.05.2022;2022-05-10 08:30:00.000;1 475;Точка продаж 24
10.05.2022;2022-05-10 09:00:00.000;1 405,5;Точка продаж 24
10.05.2022;2022-05-10 09:30:00.000;2 022;Точка продаж 24
10.05.2022;2022-05-10 10:00:00.000;757,5;Точка продаж 24
10.05.2022;2022-05-10 10:30:00.000;1 826;Точка продаж 24
10.05.2022;2022-05-10 11:00:00.000;1 528,5;Точка продаж 24
10.05.2022;2022-05-10 11:30:00.000;2 038,5;Точка продаж 24
10.05.2022;2022-05-10 12:00:00.000;539;Точка продаж 24
10.05.2022;2022-05-10 12:30:00.000;809;Точка продаж 24
10.05.2022;2022-05-10 13:00:00.000;2 180;Точка продаж 24
10.05.2022;2022-05-10 13:30:00.000;2 442;Точка продаж 24
10.05.2022;2022-05-10 14:00:00.000;1 496,5;Точка продаж 24
10.05.2022;2022-05-10 14:30:00.000;3 158;Точка продаж 24
10.05.2022;2022-05-10 15:00:00.000;695,5;Точка продаж 24
10.05.2022;2022-05-10 15:30:00.000;1 378;Точка продаж 24
10.05.2022;2022-05-10 16:00:00.000;1 630,5;Точка продаж 24
10.05.2022;2022-05-10 16:30:00.000;2 825;Точка продаж 24
10.05.2022;2022-05-10 17:00:00.000;2 409,5;Точка продаж 24
10.05.2022;2022-05-10 17:30:00.000;485;Точка продаж 24
10.05.2022;2022-05-10 18:00:00.000;1 333;Точка продаж 24
10.05.2022;2022-05-10 18:30:00.000;887,5;Точка продаж 24
10.05.2022;2022-05-10 19:00:00.000;2 424,5;Точка продаж 24
10.05.2022;2022-05-10 19:30:00.000;1 636,5;Точка продаж 24
10.05.2022;2022-05-10 20:00:00.000;1 034;Точка продаж 24
10.05.2022;2022-05-10 20:30:00.000;2 005;Точка продаж 24
10.05.2022;2022-05-10 21:00:00.000;554;Точка продаж 24
10.05.2022;2022-05-10 21:30:00.000;373,5;Точка продаж 24
10.05.2022;2022-05-10 22:00:00.000;416;Точка продаж 24
10.05.2022;2022-05-10 22:30:00.000;681,5;Точка продаж 24
