Дата;Дата с разбивкой по 30 минут;Прибыль на момент времени;Точка продаж
01.05.2022;2022-05-01 19:00:00.000;350;Точка продаж 11
01.05.2022;2022-05-01 19:30:00.000;1 165;Точка продаж 11
01.05.2022;2022-05-01 20:30:00.000;175;Точка продаж 11
01.05.2022;2022-05-01 22:00:00.000;230;Точка продаж 11
01.05.2022;2022-05-01 23:30:00.000;195;Точка продаж 11
01.05.2022;2022-05-01 00:00:00.000;981;Точка продаж 12
01.05.2022;2022-05-01 00:30:00.000;74,5;Точка продаж 12
01.05.2022;2022-05-01 02:30:00.000;184,5;Точка продаж 12
01.05.2022;2022-05-01 04:30:00.000;2 385,5;Точка продаж 12
01.05.2022;2022-05-01 05:00:00.000;4 710;Точка продаж 12
01.05.2022;2022-05-01 05:30:00.000;1 985;Точка продаж 12
01.05.2022;2022-05-01 06:00:00.000;3 819;Точка продаж 12
01.05.2022;2022-05-01 06:30:00.000;3 287;Точка продаж 12
01.05.2022;2022-05-01 07:00:00.000;4 282,5;Точка продаж 12
01.05.2022;2022-05-01 07:30:00.000;3 799,5;Точка продаж 12
01.05.2022;2022-05-01 08:00:00.000;4 101;Точка продаж 12
01.05.2022;2022-05-01 08:30:00.000;4 310,5;Точка продаж 12
01.05.2022;2022-05-01 09:00:00.000;5 151,5;Точка продаж 12
01.05.2022;2022-05-01 09:30:00.000;5 065;Точка продаж 12
01.05.2022;2022-05-01 10:00:00.000;3 605,5;Точка продаж 12
01.05.2022;2022-05-01 10:30:00.000;6 261,5;Точка продаж 12
01.05.2022;2022-05-01 11:00:00.000;2 021;Точка продаж 12
01.05.2022;2022-05-01 11:30:00.000;4 763,5;Точка продаж 12
01.05.2022;2022-05-01 12:00:00.000;6 275,5;Точка продаж 12
01.05.2022;2022-05-01 12:30:00.000;5 355;Точка продаж 12
01.05.2022;2022-05-01 13:00:00.000;3 961;Точка продаж 12
01.05.2022;2022-05-01 13:30:00.000;4 589;Точка продаж 12
01.05.2022;2022-05-01 14:00:00.000;6 282;Точка продаж 12
01.05.2022;2022-05-01 14:30:00.000;9 566,5;Точка продаж 12
01.05.2022;2022-05-01 15:00:00.000;7 463;Точка продаж 12
01.05.2022;2022-05-01 15:30:00.000;6 397,5;Точка продаж 12
01.05.2022;2022-05-01 16:00:00.000;5 450;Точка продаж 12
01.05.2022;2022-05-01 16:30:00.000;6 521;Точка продаж 12
01.05.2022;2022-05-01 17:00:00.000;6 075,5;Точка продаж 12
01.05.2022;2022-05-01 17:30:00.000;6 523,5;Точка продаж 12
01.05.2022;2022-05-01 18:00:00.000;3 864;Точка продаж 12
01.05.2022;2022-05-01 18:30:00.000;5 380,5;Точка продаж 12
01.05.2022;2022-05-01 19:00:00.000;4 765;Точка продаж 12
01.05.2022;2022-05-01 19:30:00.000;5 541,5;Точка продаж 12
01.05.2022;2022-05-01 20:00:00.000;4 215,5;Точка продаж 12
01.05.2022;2022-05-01 20:30:00.000;2 289,5;Точка продаж 12
01.05.2022;2022-05-01 21:00:00.000;2 941;Точка продаж 12
01.05.2022;2022-05-01 21:30:00.000;3 423,5;Точка продаж 12
01.05.2022;2022-05-01 22:00:00.000;1 893;Точка продаж 12
01.05.2022;2022-05-01 22:30:00.000;3 860;Точка продаж 12
01.05.2022;2022-05-01 23:00:00.000;3 957;Точка продаж 12
01.05.2022;2022-05-01 23:30:00.000;3 122,5;Точка продаж 12
01.05.2022;2022-05-01 00:00:00.000;242,5;Точка продаж 13
01.05.2022;2022-05-01 01:30:00.000;2 872,5;Точка продаж 13
01.05.2022;2022-05-01 02:00:00.000;485;Точка продаж 13
01.05.2022;2022-05-01 02:30:00.000;122,5;Точка продаж 13
01.05.2022;2022-05-01 04:30:00.000;1 205;Точка продаж 13
01.05.2022;2022-05-01 07:30:00.000;502,5;Точка продаж 13
01.05.2022;2022-05-01 11:00:00.000;585;Точка продаж 13
01.05.2022;2022-05-01 12:00:00.000;3 830;Точка продаж 13
01.05.2022;2022-05-01 13:00:00.000;1 915;Точка продаж 13
01.05.2022;2022-05-01 13:30:00.000;605;Точка продаж 13
01.05.2022;2022-05-01 14:00:00.000;970;Точка продаж 13
01.05.2022;2022-05-01 15:00:00.000;242,5;Точка продаж 13
01.05.2022;2022-05-01 15:30:00.000;2 155;Точка продаж 13
01.05.2022;2022-05-01 16:00:00.000;825;Точка продаж 13
01.05.2022;2022-05-01 16:30:00.000;2 832,5;Точка продаж 13
01.05.2022;2022-05-01 17:00:00.000;7 025;Точка продаж 13
01.05.2022;2022-05-01 17:30:00.000;2 675;Точка продаж 13
01.05.2022;2022-05-01 18:00:00.000;1 270;Точка продаж 13
01.05.2022;2022-05-01 18:30:00.000;3 402,5;Точка продаж 13
01.05.2022;2022-05-01 19:00:00.000;4 602,5;Точка продаж 13
01.05.2022;2022-05-01 19:30:00.000;2 660;Точка продаж 13
01.05.2022;2022-05-01 20:00:00.000;2 012,5;Точка продаж 13
01.05.2022;2022-05-01 20:30:00.000;2 575;Точка продаж 13
01.05.2022;2022-05-01 21:00:00.000;852,5;Точка продаж 13
01.05.2022;2022-05-01 21:30:00.000;242,5;Точка продаж 13
01.05.2022;2022-05-01 22:00:00.000;3 007,5;Точка продаж 13
01.05.2022;2022-05-01 22:30:00.000;1 360;Точка продаж 13
01.05.2022;2022-05-01 23:00:00.000;1 787,5;Точка продаж 13
01.05.2022;2022-05-01 23:30:00.000;377,5;Точка продаж 13
01.05.2022;2022-05-01 05:30:00.000;12 560;Точка продаж 14
01.05.2022;2022-05-01 07:30:00.000;75;Точка продаж 14
01.05.2022;2022-05-01 11:00:00.000;7 090;Точка продаж 14
01.05.2022;2022-05-01 11:30:00.000;3 540;Точка продаж 14
01.05.2022;2022-05-01 13:30:00.000;375;Точка продаж 14
01.05.2022;2022-05-01 15:30:00.000;325;Точка продаж 14
01.05.2022;2022-05-01 17:30:00.000;1 085;Точка продаж 14
01.05.2022;2022-05-01 20:30:00.000;2 945;Точка продаж 14
01.05.2022;2022-05-01 23:30:00.000;6 065;Точка продаж 15
01.05.2022;2022-05-01 00:00:00.000;4 450;Точка продаж 16
01.05.2022;2022-05-01 00:30:00.000;11 210;Точка продаж 16
01.05.2022;2022-05-01 01:30:00.000;3 080;Точка продаж 16
